id,wine_id,eye,eye_score,nose,nose_score,mouth,mouth_score,finish,finish_score,opinion,opinion_score,total_score
0,55585e69827e050300000007,"Clear rim, Translucent depth",12,"Sherry, Dust, Raspberry, Raisin, Prune, Spicy, Savoury aromas",22,"Tobacco, Sherry, Raspberry, Raisin, Prune, Cedar, Spicy flavours, Flat sweetness, Fresh acidity, Drying tannins, Mild alcohol",18,"Long duration, Outstanding quality, Late peaktime",13,"Subtle complexity, Memorable interest, Expected typicity, Harmonious balance",8,73
1,535975d9682acc02000074bb,,0,,0,,0,,0,,0,0
2,55a28134174e540300000014,"Clear rim, Clear depth",11,"Rose, Earthy aromas",23,"Berry, Strawberry, Raspberry flavours, Fresh acidity, Mild alcohol",21,"Medium duration, Good quality, Middle peaktime",11,"Subtle complexity, Pleasant interest, Expected typicity, Harmonious balance",7,73
3,535977ba682acc0200008ff4,,0,,0,,0,,0,,0,0
4,58cec814d69ba3b478df074e,,15,"Floral, Rose, Tree, Berry, Black Currant, Strawberry, Lees aromas",25,"Floral, Rose, Tree, Berry, Black Currant, Strawberry, Lees flavours",26,,13,,9,88
5,535973d0682acc0200000359,,0,,0,,0,,0,,0,0
6,535a5f7a7dd3dc02000000b0,,0,,0,,0,,0,,0,0
7,56b0f490cb9d45030060cda1,Clear rim,15,"Berry, Strawberry aromas",28,"Berry, Strawberry, Cherry flavours, Fresh acidity, Mild alcohol",24,"Medium duration, Good quality, Middle peaktime",12,"Subtle complexity, Pleasant interest, Expected typicity, Harmonious balance",7,86
8,554250f1eb915703000026ed,,0,,0,,0,,0,,0,0
9,554250eceb91570300001852,,0,,0,,0,,0,,0,0
10,589e83edb604e44b1619adb1,,0,,0,,0,,0,,0,0
11,532b8b2e9175ea020000003a,,15,"Floral, Fruity aromas",15,"Floral, Fruity flavours",20,,12,,7,69
12,535973f4682acc0200003d11,,0,,0,,0,,0,,0,0
13,535a5f847dd3dc020000135c,,0,,0,,0,,0,,0,0
14,535974fc682acc0200006646,,0,,0,,0,,0,,0,0
15,535a5fbb7dd3dc0200003377,,0,,0,,0,,0,,0,0
16,53597867682acc0200009f51,,0,,0,,0,,0,,0,0
17,530b9a4e57428602000000b2,,0,,0,,0,,0,,0,0
18,55a3d108a08d0a0300000053,"Clear rim, Clear depth",15,"Raspberry, Strawberry, Berry aromas",25,"Raspberry, Berry, Cherry flavours, Fresh acidity, Supple tannins, Mild alcohol",25,"Medium duration, Good quality, Middle peaktime",12,"Subtle complexity, Memorable interest, Expected typicity, Harmonious balance",7,84
19,535a684f7dd3dc0200008985,,0,,0,,0,,0,,0,0
20,554250e8eb91570300000cf5,,14,,24,,24,,11,,7,80
21,554250e7eb91570300000ab9,,0,,0,,0,,0,,0,0
22,545803bc1888f1020000000b,"Clear rim, Clear depth",15,"Apple, Vanilla aromas",26,"Apple, Vanilla flavours, Flat acidity, Warm alcohol",27,"Long duration, Outstanding quality, Middle peaktime",13,"Subtle complexity, Memorable interest, Expected typicity, Harmonious balance",8,89
23,59d527533392cc0e34ed84e1,"Opaque rim, Opaque depth",15,"Fruity, Berry, Earthy aromas",23,"Fruity, Berry, Cherry flavours, Rich tannins, Mild alcohol",25,"Medium duration, Good quality, Middle peaktime",13,"Subtle complexity, Pleasant interest, Expected typicity, Harmonious balance",7,83
24,580e825fe12c5d7b522aff8b,,0,,0,,0,,0,,0,0
25,554250e8eb91570300000c89,,0,,0,,0,,0,,0,0
26,535975af682acc020000706c,,0,,0,,0,,0,,0,0
27,554250e5eb9157030000015e,,0,,0,,0,,0,,0,0
28,554250eceb91570300001cb1,,0,,0,,0,,0,,0,0
29,546159e04decd70200000026,"Clear rim, Clear depth",15,Cherry aroma,28,"Cherry flavour, Fresh acidity, Supple tannins, Mild alcohol",28,"Long duration, Outstanding quality, Middle peaktime",13,"Complex complexity, Memorable interest, Expected typicity, Harmonious balance",9,93
30,535a627d7dd3dc0200006db8,,0,,0,,0,,0,,0,0
31,535973e4682acc0200002fd1,,0,,0,,0,,0,,0,0
32,53642d146613f4020000002b,,6,"Savoury, Berry aromas",15,"Savoury, Berry, Clove flavours",14,"Medium duration, Good quality, Middle peaktime",7,"Subtle complexity, Pleasant interest, Expected typicity, Harmonious balance",5,47
33,56266f27d8ae270300000020,"Translucent rim, Translucent depth",15,"Berry, Cherry aromas",28,"Berry, Cherry flavours, Flat acidity, Supple tannins, Mild alcohol",27,"Long duration, Outstanding quality, Middle peaktime",13,"Complex complexity, Memorable interest, Expected typicity, Harmonious balance",9,92
34,5359777f682acc0200008362,,0,,0,,0,,0,,0,0
35,55f9e3212fd18b0300000048,"Opaque rim, Opaque depth",15,"Spicy, Black Pepper aromas",27,"Spicy, Black Pepper flavours, Supple tannins, Warm alcohol",27,"Long duration, Outstanding quality, Middle peaktime",13,"Complex complexity, Memorable interest, Expected typicity, Harmonious balance",8,90
36,535a61857dd3dc0200005d63,,0,,0,,0,,0,,0,0
37,52def0202f8d24020000040c,,0,,0,,0,,0,,0,0
38,55d00baf0d012503000000ee,,13,Fruity aroma,26,"Floral, Fruity flavours",26,,13,,8,86
39,535a64b87dd3dc0200007d83,,0,,0,,0,,0,,0,0
40,53597577682acc0200006a18,,0,,0,,0,,0,,0,0
41,535a61b17dd3dc020000625a,,0,,0,,0,,0,,0,0
42,535a6b6e7dd3dc0200009363,,0,,0,,0,,0,,0,0
43,55b01d8adc0650030000006b,Clear rim,15,Strawberry aroma,26,"Strawberry, Spicy, Cherry flavours, Supple tannins, Mild alcohol",26,"Long duration, Good quality, Middle peaktime",13,"Pleasant interest, Expected typicity, Harmonious balance",8,88
44,535973ea682acc020000332f,,0,,0,,0,,0,,0,0
45,554250eceb915703000017a1,,0,,0,,0,,0,,0,0
46,554250efeb91570300002412,,0,,0,,0,,0,,0,0
47,5abd3242d6b2260e0b842d2f,"Clear rim, Clear depth",15,"Fruity, Floral aromas",25,"Fruity, Floral flavours, Fresh sweetness, Flat acidity, Mild alcohol",23,"Short duration, Poor quality, Middle peaktime",10,"Simple complexity, Dull interest, Unusual typicity, Harmonious balance",7,80
48,535a5f7f7dd3dc0200000a02,,0,,0,,0,,0,,0,0
49,535a5fbd7dd3dc02000033f6,,0,,0,,0,,0,,0,0
50,554250eceb915703000019aa,,0,,0,,0,,0,,0,0
51,554250eceb91570300001aff,,0,,0,,0,,0,,0,0
52,530b9a4f57428602000003f3,,0,,0,,0,,0,,0,0
53,535a62c07dd3dc02000070d4,,0,,0,,0,,0,,0,0
54,535a60387dd3dc0200004dda,,0,,0,,0,,0,,0,0
55,53642d086613f4020000002a,,0,,0,,0,,0,,0,0
56,554250eceb9157030000199c,,0,,0,,0,,0,,0,0
57,554250eceb91570300001a2d,,0,,0,,0,,0,,0,0
58,535a62997dd3dc0200006f00,,0,,0,,0,,0,,0,0
59,554250efeb915703000020a0,,0,,0,,0,,0,,0,0
60,554250eaeb91570300001354,,0,,0,,0,,0,,0,0
61,554250eaeb915703000012a0,,0,,0,,0,,0,,0,0
62,535a62bf7dd3dc0200006ff5,,0,,0,,0,,0,,0,0
63,535a60057dd3dc0200004635,,0,,0,,0,,0,,0,0
64,535a6cdf7dd3dc02000098ec,,0,,0,,0,,0,,0,0
65,5b11c19d345ec37a0bcb7341,,0,,0,,0,,0,,0,0
66,535973d0682acc02000001b4,,0,,0,,0,,0,,0,0
67,5359741f682acc020000496c,,0,,0,,0,,0,,0,0
68,535a60f07dd3dc0200005ba3,,0,,0,,0,,0,,0,0
69,535976be682acc0200007ae7,,0,,0,,0,,0,,0,0
70,535a61b27dd3dc020000631d,,0,,0,,0,,0,,0,0
71,554250eceb91570300001a88,,0,,0,,0,,0,,0,0
72,554250eeeb91570300001f57,,0,,0,,0,,0,,0,0
73,535a6cff7dd3dc0200009cad,,0,,0,,0,,0,,0,0
74,535977a6682acc02000089ab,,0,,0,,0,,0,,0,0
75,535a6b6e7dd3dc0200009364,,0,,0,,0,,0,,0,0
76,535a67ca7dd3dc02000083e3,,0,,0,,0,,0,,0,0
77,554250f1eb915703000026c5,,0,,0,,0,,0,,0,0
78,535a6a7d7dd3dc020000912c,,0,,0,,0,,0,,0,0
79,5681e575c0cf330300dba0f1,"Clear rim, Clear depth",15,Strawberry aroma,26,"Strawberry flavour, Bright acidity, Mild alcohol",26,"Medium duration, Good quality, Middle peaktime",13,"Subtle complexity, Pleasant interest, Expected typicity, Harmonious balance",8,88
80,5ab1716e65ef0a890b442c39,Clear rim,15,"Orange Blossom, Strawberry, Floral aromas",27,"Strawberry, Cherry, Floral flavours, Fresh acidity, Mild alcohol",26,"Long duration, Good quality, Middle peaktime",13,"Subtle complexity, Pleasant interest, Expected typicity, Harmonious balance",8,89
81,554250e9eb91570300000f94,,0,,0,,0,,0,,0,0
82,535a60617dd3dc02000051b4,,0,,0,,0,,0,,0,0
83,535a60057dd3dc0200004636,,0,,0,,0,,0,,0,0
84,535a60d87dd3dc0200005a45,,0,,0,,0,,0,,0,0
85,535a67ca7dd3dc02000083e4,,0,,0,,0,,0,,0,0
86,535a6cdf7dd3dc02000098eb,,0,,0,,0,,0,,0,0
87,535a5ff57dd3dc02000040a3,,0,,0,,0,,0,,0,0
88,554250eceb91570300001c71,,0,,0,,0,,0,,0,0
89,554250edeb91570300001d97,,0,,0,,0,,0,,0,0
90,554250e8eb91570300000eb6,,0,,0,,0,,0,,0,0
91,58daa0639992da5c3eeaac44,,0,,0,,0,,0,,0,0
92,535973d4682acc0200000f3b,,0,,0,,0,,0,,0,0
93,535973e0682acc0200002c97,,0,,0,,0,,0,,0,0
94,535a5f837dd3dc02000010d9,,0,,0,,0,,0,,0,0
95,5411d6dbb6aaa60200000006,"Clear rim, Clear depth",12,Strawberry aroma,24,"Fruity, Strawberry flavours, Flat sweetness, Fresh acidity, Mild alcohol",23,"Medium duration, Good quality, Middle peaktime",10,"Subtle complexity, Memorable interest, Expected typicity, Harmonious balance",7,76
96,54da4fb52483000300000015,,11,"Floral, Woody, Fruity, Berry, Strawberry aromas",21,"Floral, Woody, Fruity, Strawberry, Raspberry flavours",22,,9,,7,70
97,552d80063e9a1b0300000002,"Clear rim, Clear depth",15,Strawberry aroma,25,"Strawberry flavour, Fresh acidity, Mild alcohol",25,"Medium duration, Good quality, Middle peaktime",12,"Subtle complexity, Pleasant interest, Expected typicity, Harmonious balance",7,84
98,569eb7a7e88cc9120a496c26,,0,,0,,0,,0,,0,0
99,569eb7aae88cc9120a496c94,,0,,0,,0,,0,,0,0
100,569eb7abe88cc9120a496cfd,,0,,0,,0,,0,,0,0
101,56f84d8d6e47f21a119401da,"Translucent rim, Translucent depth",12,"Raspberry, Spicy, Strawberry, Dust, Rose, Nutty, Fresh aromas",18,"Raspberry, Spicy, Strawberry, Caramel, Rose, Dust, Woody flavours, Fresh sweetness, Flat acidity, Warm alcohol",21,"Medium duration, Good quality, Middle peaktime",11,"Subtle complexity, Pleasant interest, Expected typicity, Harmonious balance",7,69
102,576374a60b05a1a3499bac55,,0,,0,,0,,0,,0,0
103,569eb7a4e88cc9120a496a46,,0,,0,,0,,0,,0,0
104,569eb7a5e88cc9120a496adb,,0,,0,,0,,0,,0,0
105,569eb7a5e88cc9120a496af4,,0,,0,,0,,0,,0,0
106,569eb7a5e88cc9120a496ab6,,0,,0,,0,,0,,0,0
107,569eb7a5e88cc9120a496afa,,0,,0,,0,,0,,0,0
108,569eb7a4e88cc9120a496a65,,0,,0,,0,,0,,0,0
109,569eb7a6e88cc9120a496bbe,,0,,0,,0,,0,,0,0
110,569eb7a5e88cc9120a496a94,,0,,0,,0,,0,,0,0
111,569eb7a6e88cc9120a496bc0,,0,,0,,0,,0,,0,0
112,535973d0682acc0200000128,,0,,0,,0,,0,,0,0
113,569eb7aae88cc9120a496cb1,,0,,0,,0,,0,,0,0
114,569eb7abe88cc9120a496cf7,,0,,0,,0,,0,,0,0
115,569eb7ace88cc9120a496d2d,,0,,0,,0,,0,,0,0
116,569eb7abe88cc9120a496cba,,0,,0,,0,,0,,0,0
117,5564efe1b4f0c1030000007f,,0,,0,,0,,0,,0,0
118,55973b10ce4d150300000004,"Translucent rim, Translucent depth",15,"Apple, Strawberry, Cherry, Grapefruit, Melon aromas",25,"Apple, Strawberry, Cherry, Grapefruit, Melon flavours",23,"Long duration, Good quality, Middle peaktime",12,"Subtle complexity, Pleasant interest, Expected typicity, Harmonious balance",8,83
119,5b157ac7edcff42611e5db30,,0,,0,,0,,0,,0,0
120,55a41ffa232b920300000094,Clear rim,15,"Earthy, Strawberry aromas",25,"Cherry, Raspberry flavours, Fresh acidity, Warm alcohol",26,,12,"Subtle complexity, Pleasant interest, Expected typicity, Harmonious balance",7,85
121,5a7c94884281413625aa0c0e,"Clear rim, Clear depth",15,Fruity aroma,26,"Berry, Fruity, Strawberry flavours, Fresh acidity, Mild alcohol",26,"Medium duration, Good quality, Middle peaktime",13,"Subtle complexity, Pleasant interest, Typical typicity, Harmonious balance",8,88
122,535977a6682acc02000089aa,,0,,0,,0,,0,,0,0
123,535a67c97dd3dc0200008377,,0,,0,,0,,0,,0,0
124,535973d0682acc02000001eb,,0,,0,,0,,0,,0,0
125,535973d2682acc02000007db,,0,,0,,0,,0,,0,0
126,5359785d682acc0200009def,,0,,0,,0,,0,,0,0
127,535a5f857dd3dc0200001436,,0,,0,,0,,0,,0,0
128,535a62787dd3dc0200006d6f,,0,,0,,0,,0,,0,0
129,535a5fe57dd3dc0200003f58,,0,,0,,0,,0,,0,0
130,535a61877dd3dc0200005e49,,0,,0,,0,,0,,0,0
131,535a61877dd3dc0200005e4a,,0,,0,,0,,0,,0,0
132,5a063f572a5426ef45a4c14e,,0,,0,,0,,0,,0,0
133,535a600a7dd3dc02000048be,,0,,0,,0,,0,,0,0
134,535a5f7a7dd3dc02000001db,,0,,0,,0,,0,,0,0
135,530b9a4e57428602000001a0,,0,,0,,0,,0,,0,0
136,535a6cdf7dd3dc02000098be,,0,,0,,0,,0,,0,0
137,53597a19682acc020000aea9,,0,,0,,0,,0,,0,0
138,535a627d7dd3dc0200006db2,,0,,0,,0,,0,,0,0
139,535a5ff47dd3dc0200003f8b,,0,,0,,0,,0,,0,0
140,535a61887dd3dc0200005e80,,0,,0,,0,,0,,0,0
141,577f07a5b7e8808e3cd89ef1,,12,"Woody, Charred, Fruity, Berry aromas",26,"Woody, Charred, Fruity, Berry, Black Pepper flavours",24,,12,,7,81
142,5716f8ec115cab5947f4e0f3,"Translucent rim, Translucent depth",11,"Raspberry, Banana, Lees, Fruity, Berry, Nutty, Rose aromas",20,"Raspberry, Banana, Yeast, Nutty, Lees, Berry, Fruity flavours, Flat sweetness, Fresh acidity, Warm alcohol",21,"Short duration, Good quality, Early peaktime",11,"Subtle complexity, Pleasant interest, Typical typicity, Awkward balance",7,70
143,535974f3682acc0200005fc9,,0,,0,,0,,0,,0,0
144,535974f3682acc0200005fca,,0,,0,,0,,0,,0,0
145,535a607f7dd3dc0200005577,,0,,0,,0,,0,,0,0
146,535a600a7dd3dc02000048bd,,0,,0,,0,,0,,0,0
147,535a60f07dd3dc0200005ba4,,0,,0,,0,,0,,0,0
148,554250e8eb91570300000df1,,0,,0,,0,,0,,0,0
149,554250eceb91570300001c48,,0,,0,,0,,0,,0,0
150,53597584682acc0200006f65,,0,,0,,0,,0,,0,0
